DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/23/2025,01:00,7RNCHSLR_ALL, 36.22,N
04/23/2025,01:00,ABINDUST_RN, 44.19,N
04/23/2025,01:00,ADL_RN, 33.38,N
04/23/2025,01:00,AEEC, 4.84,N
04/23/2025,01:00,AE_RN, 34.06,N
04/23/2025,01:00,AGUAYO_UNIT1, 35.92,N
04/23/2025,01:00,AJAXWIND_RN, 23.65,N
04/23/2025,01:00,ALGOD_ALL_RN, 31.86,N
04/23/2025,01:00,ALP_BESS_RN, 158.38,N
04/23/2025,01:00,ALVIN_RN, 33.7,N
04/23/2025,01:00,AMADEUS_ALL, 19.33,N
04/23/2025,01:00,AMISTAD_ALL, 52.64,N
04/23/2025,01:00,AMOCOOIL_CC1, 33.6,N
04/23/2025,01:00,AMOCOOIL_CC2, 33.6,N
04/23/2025,01:00,AMOCO_PUN1, 33.6,N
04/23/2025,01:00,AMOCO_PUN2, 33.6,N
04/23/2025,01:00,AMO_AMOCO_1, 33.6,N
04/23/2025,01:00,AMO_AMOCO_2, 33.6,N
04/23/2025,01:00,AMO_AMOCO_5, 33.6,N
04/23/2025,01:00,AMO_AMOCO_G1, 33.6,N
04/23/2025,01:00,AMO_AMOCO_G2, 33.6,N
04/23/2025,01:00,AMO_AMOCO_G3, 33.6,N
04/23/2025,01:00,AMO_AMOCO_S1, 33.6,N
04/23/2025,01:00,AMO_AMOCO_S2, 33.6,N
04/23/2025,01:00,ANACACHO_ANA, 48.45,N
04/23/2025,01:00,ANCHOR_ALL, 24.55,N
04/23/2025,01:00,ANDMDSLR_ALL, 18.56,N
04/23/2025,01:00,ANEM_ESS_RN, 5.29,N
04/23/2025,01:00,ANG_ALL, 41.12,N
04/23/2025,01:00,ANOL_ESS_RN, 30.15,N
04/23/2025,01:00,ANSON1_ALL, 24.68,N
04/23/2025,01:00,ANTL_ESS_ES1, 47.63,N
04/23/2025,01:00,APPALOSA_ALL, 66.12,N
04/23/2025,01:00,AQUI_ALL, 30.82,N
04/23/2025,01:00,ARAGORN_RN, 69.42,N
04/23/2025,01:00,ASCK_SLR_RN, 30.82,N
04/23/2025,01:00,ASTRA_RN, 13.14,N
04/23/2025,01:00,ATK_ATKINSG7, 32.8,N
04/23/2025,01:00,AURO_SLR_RN, 33.49,N
04/23/2025,01:00,AUSTPL_ALL, 35.67,N
04/23/2025,01:00,AVIAT_ALL, 40.77,N
04/23/2025,01:00,AVIL_ESS_RN, 66.67,N
04/23/2025,01:00,AZSP_SLR_RN, 30.75,N
04/23/2025,01:00,AZURE_RN, 23.23,N
04/23/2025,01:00,AZ_ALL, 33.42,N
04/23/2025,01:00,BAC_RN_ALL, 33.59,N
04/23/2025,01:00,BAFFIN_ALL, 26.12,N
04/23/2025,01:00,BAIRDWND_ALL, 24.55,N
04/23/2025,01:00,BAKE_RN_ALL, 29.43,N
04/23/2025,01:00,BARROW_ALL, 77.79,N
04/23/2025,01:00,BASTEN_CC1, 35.54,N
04/23/2025,01:00,BASTEN_CCU, 35.54,N
04/23/2025,01:00,BATCAVE_RN, 38.37,N
04/23/2025,01:00,BAYC_BESS_RN, 34.26,N
04/23/2025,01:00,BBREEZE_1_2, 22.06,N
04/23/2025,01:00,BCATWD_WD_1, 25.61,N
04/23/2025,01:00,BCH_RN, 34.06,N
04/23/2025,01:00,BCK_RN, 33.93,N
04/23/2025,01:00,BCNV_RN, 33.7,N
04/23/2025,01:00,BELM_SLR_RN, 33.42,N
04/23/2025,01:00,BEXAR_ES_RN, 37.79,N
04/23/2025,01:00,BIGSTAR_ALL, 35.78,N
04/23/2025,01:00,BKSL_RN, 15.97,N
04/23/2025,01:00,BLACKJAK_RN, 31.69,N
04/23/2025,01:00,BLSMT1_5_A_6, 20.78,N
04/23/2025,01:00,BLUEJAY_RN, 32.72,N
04/23/2025,01:00,BLVN_RN, 33.22,N
04/23/2025,01:00,BOARDCRK_ALL, 31.26,N
04/23/2025,01:00,BOCO_ESS_RN, -5.79,N
04/23/2025,01:00,BOOTLEG_UN1, 62.97,N
04/23/2025,01:00,BORDAS_345, 1.08,N
04/23/2025,01:00,BOSQUESW_CC1, 32.25,N
04/23/2025,01:00,BOSQUESW_CC2, 32.13,N
04/23/2025,01:00,BOSQ_BSQSU_5, 32.13,N
04/23/2025,01:00,BOSQ_BSQS_12, 32.13,N
04/23/2025,01:00,BOSQ_BSQS_34, 32.25,N
04/23/2025,01:00,BRANDON_RN, 5.03,N
04/23/2025,01:00,BRAUNIG_CC1, 37.24,N
04/23/2025,01:00,BRAUNIG_VHB1, 37.4,N
04/23/2025,01:00,BRAUNIG_VHB2, 37.4,N
04/23/2025,01:00,BRAUNIG_VHB3, 37.5,N
04/23/2025,01:00,BRAZ_WND_ALL, 37.01,N
04/23/2025,01:00,BRA_AVR1_CT2, 37.24,N
04/23/2025,01:00,BRA_AVR_CST1, 37.24,N
04/23/2025,01:00,BRHEIGHT_RN, 33.61,N
04/23/2025,01:00,BRIGHTSD_RN, 35.32,N
04/23/2025,01:00,BRIGHTSD_U1, 35.32,N
04/23/2025,01:00,BRISCOE_WIND, 14.83,N
04/23/2025,01:00,BRPANGLE_RN, 34.04,N
04/23/2025,01:00,BRPMAGNO_RN, 33.61,N
04/23/2025,01:00,BRP_BRAZ_RN, 34.03,N
04/23/2025,01:00,BRP_DIKN_RN, 33.61,N
04/23/2025,01:00,BRP_LOOP_RN, 33.81,N
04/23/2025,01:00,BRP_LOP1_RN, 17.99,N
04/23/2025,01:00,BRP_PBL1_RN, 50.52,N
04/23/2025,01:00,BRP_PBL2_RN, 50.52,N
04/23/2025,01:00,BRP_RN_UNIT1, 37.52,N
04/23/2025,01:00,BRP_SWNY_RN, 34.03,N
04/23/2025,01:00,BRP_ZPT1_RN, 18.2,N
04/23/2025,01:00,BRP_ZPT2_RN, 18.2,N
04/23/2025,01:00,BRTSW_BCW1, 25.8,N
04/23/2025,01:00,BR_ARROW_ALL, 29.56,N
04/23/2025,01:00,BR_VHB6CT5_6, 37.5,N
04/23/2025,01:00,BR_VHB6CT7_8, 37.4,N
04/23/2025,01:00,BSS_U1, 34.03,N
04/23/2025,01:00,BTE_BTE_G1, 33.4,N
04/23/2025,01:00,BTE_BTE_G2, 33.4,N
04/23/2025,01:00,BTE_BTE_G3, 33.4,N
04/23/2025,01:00,BTE_BTE_G4, 33.4,N
04/23/2025,01:00,BTE_CC1, 33.4,N
04/23/2025,01:00,BTE_PUN1, 33.4,N
04/23/2025,01:00,BTE_PUN2, 33.4,N
04/23/2025,01:00,BTM_ALL, 34.06,N
04/23/2025,01:00,BUCHAN_ALL, 36.74,N
04/23/2025,01:00,BUCKTHRN_RN, 33.65,N
04/23/2025,01:00,BUFF_GAP_ALL, 37.59,N
04/23/2025,01:00,BULLCRK_1_2, 37.78,N
04/23/2025,01:00,BVE_CC1, 33.76,N
04/23/2025,01:00,BVE_UNIT1, 33.76,N
04/23/2025,01:00,BVE_UNIT2, 33.76,N
04/23/2025,01:00,BVE_UNIT3, 33.76,N
04/23/2025,01:00,BYRDR_ES_ALL, 34.03,N
04/23/2025,01:00,BYU_BYU_1, 33.49,N
04/23/2025,01:00,BYU_BYU_12, 33.49,N
04/23/2025,01:00,BYU_BYU_34, 33.49,N
04/23/2025,01:00,BYU_CC1, 33.49,N
04/23/2025,01:00,BYU_G4_RN, 33.49,N
04/23/2025,01:00,BYU_PUN1, 33.49,N
04/23/2025,01:00,BYU_PUN2, 33.49,N
04/23/2025,01:00,BYU_PUN3, 33.49,N
04/23/2025,01:00,BYU_PUN4, 33.49,N
04/23/2025,01:00,B_DAVIS_3, 30.35,N
04/23/2025,01:00,B_DAVIS_4, 30.35,N
04/23/2025,01:00,B_DAVIS_CC1, 30.35,N
04/23/2025,01:00,B_D_B_DAVIG1, 30.35,N
04/23/2025,01:00,B_D_B_DAVIG2, 30.35,N
04/23/2025,01:00,CABEZON_ALL, 3.41,N
04/23/2025,01:00,CACH_ESS_RN, 36.65,N
04/23/2025,01:00,CALAVER_JKS1, 37.01,N
04/23/2025,01:00,CALAVER_JKS2, 37.01,N
04/23/2025,01:00,CALAVER_JTD1, 37.46,N
04/23/2025,01:00,CALAVER_JTD2, 37.46,N
04/23/2025,01:00,CALAVER_OWS1, 37.43,N
04/23/2025,01:00,CALAVER_OWS2, 37.46,N
04/23/2025,01:00,CALHOUN_ALL, 35.44,N
04/23/2025,01:00,CALLAHA_WND1, 43.81,N
04/23/2025,01:00,CAL_CALGT1, 33.42,N
04/23/2025,01:00,CAL_CALSTG1, 33.42,N
04/23/2025,01:00,CAL_CC1, 33.42,N
04/23/2025,01:00,CAL_PUN1, 33.42,N
04/23/2025,01:00,CAL_PUN2, 33.42,N
04/23/2025,01:00,CAMWIND_RN, 22.74,N
04/23/2025,01:00,CANYONWD_ALL, 25.04,N
04/23/2025,01:00,CAPRIDG4_CR4, 40.77,N
04/23/2025,01:00,CAPRIDGE_ALL, 40.77,N
04/23/2025,01:00,CARBN_BSP_1, 120.65,N
04/23/2025,01:00,CARN_ESS_RN, 30.59,N
04/23/2025,01:00,CARRIZO_ESR1, 48.79,N
04/23/2025,01:00,CASL_GAP_UN1, 66.13,N
04/23/2025,01:00,CATARINA_B1, 49.23,N
04/23/2025,01:00,CBECII_89, 34.09,N
04/23/2025,01:00,CBECII_CC3, 34.09,N
04/23/2025,01:00,CBECII_CT7, 34.09,N
04/23/2025,01:00,CBEC_ALL, 34.08,N
04/23/2025,01:00,CBEC_CC1, 34.08,N
04/23/2025,01:00,CBEC_CC2, 34.08,N
04/23/2025,01:00,CBY4_ALL, 33.41,N
04/23/2025,01:00,CBY4_CC1, 33.41,N
04/23/2025,01:00,CBY_CBY_G1, 33.41,N
04/23/2025,01:00,CBY_CBY_G2, 33.42,N
04/23/2025,01:00,CCEC_CC1, 30.59,N
04/23/2025,01:00,CCEC_GT1, 30.59,N
04/23/2025,01:00,CCEC_GT2, 30.59,N
04/23/2025,01:00,CCEC_PUN1, 30.59,N
04/23/2025,01:00,CCEC_PUN2, 30.59,N
04/23/2025,01:00,CCEC_ST1, 30.59,N
04/23/2025,01:00,CEDROHI_CHW1, -2.02,N
04/23/2025,01:00,CEDRVALE_RN, 69.02,N
04/23/2025,01:00,CFLATS_UNIT, 26.3,N
04/23/2025,01:00,CHALUP_ALL, 23.03,N
04/23/2025,01:00,CHAL_SLR_RN, 69.55,N
04/23/2025,01:00,CHAMON_UN1, 33.38,N
04/23/2025,01:00,CHAMON_UN2, 33.38,N
04/23/2025,01:00,CHEDPW_GT2, 33.34,N
04/23/2025,01:00,CHE_CC1, 33.35,N
04/23/2025,01:00,CHE_LYD, 33.37,N
04/23/2025,01:00,CHE_LYD2, 33.37,N
04/23/2025,01:00,CHE_PUN1, 33.37,N
04/23/2025,01:00,CHE_PUN2, 33.37,N
04/23/2025,01:00,CHIL_SLR, 33.78,N
04/23/2025,01:00,CHISMGRD_RN, 29.12,N
04/23/2025,01:00,CISC_RN, 46.88,N
04/23/2025,01:00,CITRUSCY_RN, 20.03,N
04/23/2025,01:00,CITYVICT_ALL, 33.7,N
04/23/2025,01:00,CLO_RN, 33.66,N
04/23/2025,01:00,CMPD_SLR_RN, 30.58,N
04/23/2025,01:00,CNLY_ESS_RN, 29.07,N
04/23/2025,01:00,CNTRY_RN, 30.15,N
04/23/2025,01:00,CN_BRKS_UNT1, 13.65,N
04/23/2025,01:00,COL_COLETOG1, 33.35,N
04/23/2025,01:00,CONIGLIO_RN, 29.49,N
04/23/2025,01:00,CONTINEN_RN, 20.19,N
04/23/2025,01:00,CORALSLR_ALL, 32.41,N
04/23/2025,01:00,CORAZON_RN, -0.01,N
04/23/2025,01:00,COTPLNS_RN, 13.89,N
04/23/2025,01:00,COTTON_PAP2, 31.09,N
04/23/2025,01:00,COTULLA_RN, 50.31,N
04/23/2025,01:00,COYOTSPR_AGR, 69,N
04/23/2025,01:00,COYOTSPR_RN, 69,N
04/23/2025,01:00,CPSES_UNIT1, 30.3,N
04/23/2025,01:00,CPSES_UNIT2, 30.3,N
04/23/2025,01:00,CRANELL_ALL, 31.69,N
04/23/2025,01:00,CRAWFISH_RN, 34.24,N
04/23/2025,01:00,CROSSETT_ALL, 66.25,N
04/23/2025,01:00,CROSSTRL_RN, 55.2,N
04/23/2025,01:00,CRWN_SLR_UN1, 32.87,N
04/23/2025,01:00,CR_RN, 33.43,N
04/23/2025,01:00,CSC_CSECG1_2, 33.63,N
04/23/2025,01:00,CS_RN, 33.39,N
04/23/2025,01:00,CTW_RN, 34.06,N
04/23/2025,01:00,CVC_CC1, 33.33,N
04/23/2025,01:00,CVC_CVCG1_5, 33.33,N
04/23/2025,01:00,CVC_CVC_G2, 33.33,N
04/23/2025,01:00,CVC_CVC_G3, 33.33,N
04/23/2025,01:00,DAG_ALL, 34.07,N
04/23/2025,01:00,DANSBY_ALL, 32.8,N
04/23/2025,01:00,DAN_ALL, 34.31,N
04/23/2025,01:00,DA_BESS, 33.95,N
04/23/2025,01:00,DA_BESS2, 33.95,N
04/23/2025,01:00,DC2SES_ALL, 30.99,N
04/23/2025,01:00,DC_E, 29.54,N
04/23/2025,01:00,DC_L, 13.43,N
04/23/2025,01:00,DC_N, 22.21,N
04/23/2025,01:00,DC_R, 20.07,N
04/23/2025,01:00,DDPEC_CC1, 33.48,N
04/23/2025,01:00,DDPEC_GT1, 33.48,N
04/23/2025,01:00,DDPEC_GT2, 33.48,N
04/23/2025,01:00,DDPEC_GT3, 33.48,N
04/23/2025,01:00,DDPEC_GT4, 33.48,N
04/23/2025,01:00,DDPEC_GT6, 33.48,N
04/23/2025,01:00,DDPEC_ST1, 33.48,N
04/23/2025,01:00,DECKER_GT, 35.59,N
04/23/2025,01:00,DENISON_G1_2, 29.39,N
04/23/2025,01:00,DERMOTT_ALL, 17.46,N
04/23/2025,01:00,DGFS_ESR_RN, 66.55,N
04/23/2025,01:00,DIBOL_RN, 30.63,N
04/23/2025,01:00,DIB_CC1, 33.44,N
04/23/2025,01:00,DIB_DIB_G1, 33.44,N
04/23/2025,01:00,DIB_DIB_G2, 33.44,N
04/23/2025,01:00,DIB_DIB_G3, 33.44,N
04/23/2025,01:00,DIB_DIB_G4, 33.44,N
04/23/2025,01:00,DIB_PUN1, 33.44,N
04/23/2025,01:00,DIB_PUN2, 33.44,N
04/23/2025,01:00,DILEOS_UNIT1, 32.85,N
04/23/2025,01:00,DKNS_ESS_RN, 15.97,N
04/23/2025,01:00,DMA_RN, 34.06,N
04/23/2025,01:00,DOWGEN_PUN1, 34.08,N
04/23/2025,01:00,DOWGEN_PUN2, 34.08,N
04/23/2025,01:00,DOWGEN_PUN3, 34.08,N
04/23/2025,01:00,DOW_61_2_63, 34.08,N
04/23/2025,01:00,DOW_64, 34.08,N
04/23/2025,01:00,DOW_81_2_84, 34.08,N
04/23/2025,01:00,DOW_G37_G35, 34.08,N
04/23/2025,01:00,DOW_G66_ST65, 34.08,N
04/23/2025,01:00,DOW_G67, 34.08,N
04/23/2025,01:00,DOW_G96_ST95, 34.08,N
04/23/2025,01:00,DRCK_SLR_RN, 30.43,N
04/23/2025,01:00,DRYFRIO_RN, 43.53,N
04/23/2025,01:00,DSWL_BES1, 30.25,N
04/23/2025,01:00,DUKE_CC1, 19.62,N
04/23/2025,01:00,DUKE_GST1CCU, 19.62,N
04/23/2025,01:00,DUKE_GT2_CCU, 19.62,N
04/23/2025,01:00,DUP_PUN1, 35.66,N
04/23/2025,01:00,DUP_PUN2, 35.66,N
04/23/2025,01:00,DUP_PUN3, 35.66,N
04/23/2025,01:00,DUP_PUN4, 35.66,N
